year,state_po,party,candidatevotes
2000,ID,republican,2606
2000,ID,democrat,3310
2000,ID,republican,10628
2000,ID,democrat,3748
2000,ID,republican,3528
2000,ID,democrat,745
2000,ID,republican,2019
2000,ID,democrat,4318
2000,ID,republican,8945
2000,ID,democrat,7235
2000,ID,republican,24988
2000,ID,democrat,832
2000,ID,republican,2797
2000,ID,democrat,354
2000,ID,republican,1054
2000,ID,democrat,113
2000,ID,republican,359
2000,ID,democrat,10588
2000,ID,republican,30560
2000,ID,democrat,475
2000,ID,republican,2601
2000,ID,democrat,1087
2000,ID,republican,5983
2000,ID,democrat,63
2000,ID,republican,311
2000,ID,democrat,841
2000,ID,republican,2885
2000,ID,democrat,416
2000,ID,republican,1794
2000,ID,democrat,1840
2000,ID,republican,4891
2000,ID,democrat,513
2000,ID,republican,3594
2000,ID,democrat,699
2000,ID,republican,4242
2000,ID,democrat,1346
2000,ID,republican,4376
2000,ID,democrat,1282
2000,ID,republican,3502
2000,ID,democrat,1187
2000,ID,republican,5806
2000,ID,democrat,1100
2000,ID,republican,6480
2000,ID,democrat,1360
2000,ID,republican,4418
2000,ID,democrat,13488
2000,ID,republican,28162
2000,ID,democrat,5661
2000,ID,republican,8161
2000,ID,democrat,660
2000,ID,republican,2859
2000,ID,democrat,335
2000,ID,republican,1295
2000,ID,democrat,437
2000,ID,republican,1049
2000,ID,democrat,816
2000,ID,republican,7941
2000,ID,democrat,1344
2000,ID,republican,4907
2000,ID,democrat,4995
2000,ID,republican,10577
2000,ID,democrat,307
2000,ID,republican,1426
2000,ID,democrat,623
2000,ID,republican,2450
2000,ID,democrat,1643
2000,ID,republican,4961
2000,ID,democrat,755
